step,checkpoint,agent,sims,num_games,a_win_rate,b_win_rate,draw_rate,mean_a_score,mean_b_score,mean_margin,ci95
6300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006300,greedy,,256,0.512,0.484,0.004,160.15,163.12,-2.97,0.06123235745910817
6400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006400,greedy,,256,0.531,0.457,0.012,162.69,162.81,-0.12,0.06113216415071529
6500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006500,greedy,,256,0.516,0.465,0.02,160.32,162.93,-2.6,0.06121863196772695
6600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006600,greedy,,256,0.52,0.469,0.012,161.55,162.86,-1.3,0.0612009803843043
6700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006700,greedy,,256,0.523,0.465,0.012,162.92,162.65,0.27,0.061185163183160675
6800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006800,greedy,,256,0.531,0.461,0.008,162.33,162.95,-0.62,0.06113216415071529
6900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_006900,greedy,,256,0.523,0.465,0.012,162.76,163.52,-0.76,0.061185163183160675
7000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007000,greedy,,256,0.547,0.434,0.02,164.91,163.22,1.7,0.06097879708349452
7100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007100,greedy,,256,0.52,0.477,0.004,161.14,163.54,-2.39,0.0612009803843043
7200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007200,greedy,,256,0.539,0.457,0.004,162.86,163.34,-0.47,0.06106339323809315
